Date,Open,High,Low,Close,Adj Close,Volume
2007-06-14,6398.720215,6528.000000,6352.640137,6503.680176,6503.680176,921
2007-06-15,6503.680176,6681.600098,6503.680176,6607.359863,6607.359863,780
2007-06-18,6592.000000,6607.359863,6401.279785,6401.279785,6401.279785,1087
2007-06-19,6389.759766,6396.160156,6272.000000,6304.000000,6304.000000,1430
2007-06-20,6286.080078,6307.839844,6119.680176,6173.439941,6173.439941,1552
2007-06-21,6170.879883,6251.520020,6118.399902,6146.560059,6146.560059,2016
2007-06-22,6074.879883,6074.879883,5893.120117,5932.799805,5932.799805,2127
2007-06-25,5818.879883,5889.279785,5802.240234,5815.040039,5815.040039,1052
2007-06-26,5861.120117,5861.120117,5729.279785,5748.479980,5748.479980,891
2007-06-27,5708.799805,5832.959961,5706.240234,5817.600098,5817.600098,1039
2007-06-28,5818.879883,5818.879883,5382.399902,5493.759766,5493.759766,7242
2007-06-29,5542.399902,5664.000000,5466.879883,5664.000000,5664.000000,2127
2007-07-02,5452.799805,5585.919922,5391.359863,5561.600098,5561.600098,2354
2007-07-03,5587.200195,5603.839844,5501.439941,5518.080078,5518.080078,1692
2007-07-05,5492.479980,5532.160156,5393.919922,5434.879883,5434.879883,1488
2007-07-06,5425.919922,5436.160156,5232.640137,5320.959961,5320.959961,3863
2007-07-09,5419.520020,5442.560059,5260.799805,5278.720215,5278.720215,2475
2007-07-10,5350.399902,5548.799805,5320.959961,5493.759766,5493.759766,3302
2007-07-11,5568.000000,5625.600098,5418.240234,5420.799805,5420.799805,5515
2007-07-12,5349.120117,5382.399902,5187.839844,5374.720215,5374.720215,6243
2007-07-13,5396.479980,5539.839844,5383.680176,5489.919922,5489.919922,3438
2007-07-16,5324.799805,5324.799805,5203.200195,5282.560059,5282.560059,6013
2007-07-17,5340.160156,5401.600098,5137.919922,5230.080078,5230.080078,3675
2007-07-18,5210.879883,5382.399902,5201.919922,5355.520020,5355.520020,2880
2007-07-19,5381.120117,5527.040039,5381.120117,5524.479980,5524.479980,3553
2007-07-20,5406.720215,5451.520020,5254.399902,5260.799805,5260.799805,4261
2007-07-23,5004.799805,5067.520020,4943.359863,4972.799805,4972.799805,10876
2007-07-24,4848.640137,4883.200195,4779.520020,4824.319824,4824.319824,5402
2007-07-25,4862.720215,4977.919922,4815.359863,4965.120117,4965.120117,3384
2007-07-26,4974.080078,4999.680176,4875.520020,4960.000000,4960.000000,7166
2007-07-27,4989.439941,5099.520020,4922.879883,5076.479980,5076.479980,3536
2007-07-30,5224.959961,5314.560059,5184.000000,5303.040039,5303.040039,4887
